# Number of Traces
673
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 2; -9.0493808017452909e-02; 8.6784878216081440e-01; -9.0930588885243413e-02; -8.1682591520298387e-02; 8.5713775445819451e-01; 2.2650869811942531e-01
0; 0; 2; -3.6549872711148852e-02; 1.0616473172616234e+00; 2.2650869811942531e-01; 1.2993630415884400e-01; 1.1209639483539675e+00; 2.2650869811942534e-01
0; 0; 2; 5.4113335914117844e-01; 6.8377657124419056e-01; -9.0930588885243413e-02; 6.4233977344560644e-01; 9.7833614374464628e-01; -3.4655120463503969e-02
1; 0; 6; -1.0858804109054454e-01; 9.9620119018668785e-01; -1.9404528350684153e-02; -3.8033299865076969e-270; 4.9239395510389056e-01; 3.7158346036479767e-01
2; 0; 8; 1.8267627598769076e-01; 3.5748662900499151e-01; 1.0835675415697277e-01; 1.9978466880454238e-01; 2.5821568040878051e-01; -9.0930588885243413e-02
2; 0; 8; 3.2022193612337180e-01; 5.8822278090382274e-01; -9.0930588885243413e-02; 5.3959116242146654e-01; 6.8185390791351597e-01; -9.0930588885243413e-02
3; 0; 11; -5.2770155077811437e-02; 2.4028247941651204e-01; 8.3048071831616083e-03; 2.9297767074309408e-02; 5.7665160463277898e-01; 2.2650869811942528e-01
3; 0; 11; 1.7391721489225839e-01; 1.3215120354567736e-01; -8.4002032784752989e-02; -3.8024057329346814e-270; 3.7345794843317726e-01; 4.4164913803383243e-01
4; 0; 12; 6.1259511691497084e-02; 1.4881759566082717e-01; -6.9774678326702116e-02; 4.7608573516740249e-01; 6.1408586804456411e-01; 2.2650869811942528e-01
4; 0; 12; 4.8217982872344750e-01; 6.1027894950812911e-01; -9.0930588885243413e-02; 6.8264517694069293e-01; 4.8505027636376724e-01; -9.0930588885243413e-02
5; 0; 14; 1.0688400058118697e-01; 4.3270380738813757e-01; 1.7256629937814255e-01; -3.7866933162415601e-270; 1.7649842212213995e-01; 4.8931839200993260e-01
6; 0; 15; 4.3822022871562649e-01; 6.5792484809554530e-01; 2.2650869811942528e-01; 6.3989190665642848e-01; 1.9741506522046259e-01; -2.8289189421111527e-02
7; 0; 20; 4.1578285647094582e-01; 7.9524008912976574e-01; -9.0930588885243413e-02; 5.3941620178371719e-01; 6.8163578372857092e-01; -9.0930588885243413e-02
8; 0; 21; 1.9773676661841766e-02; 5.4649448973766879e-01; 2.2650869811942528e-01; 7.8777385942488065e-02; 4.4847017246928872e-01; 1.8602534096163387e-01
9; 0; 22; -3.2992610690206514e-01; 2.2884268255873352e-01; -1.4608363765962334e-03; -3.2948823883267886e-01; 4.6224215079693470e-01; 1.9778186366326317e-01
9; 0; 22; -3.2932660485170923e-01; 5.4839889033822742e-01; 2.2650869811942528e-01; -1.5524882632908510e-01; 7.6542241086112506e-01; 2.2650869811942531e-01
9; 0; 22; -9.3841439718242908e-02; 7.6530720779736350e-01; 2.2650869811942531e-01; 3.8035533230987069e-270; 5.1122820175261585e-01; 3.3051964166947712e-01
10; 0; 28; 4.9239395510389056e-01; 3.7158346036479767e-01; 1.2039058938091535e-01; -3.8042542456976071e-270; 2.6295071935664027e-01; 3.5454573265683353e-01
11; 0; 31; -2.9774366321786427e-01; 4.3677935676495172e-01; 1.7604541382562489e-01; 2.3324508966502433e-01; 8.8772269789785541e-01; 2.2650869811942531e-01
11; 0; 31; 5.0131504591604659e-01; 6.3413490766862690e-01; -9.0930588885243413e-02; 5.6917660609892473e-01; 5.6993948894677138e-01; -9.0930588885243413e-02
12; 0; 38; 3.6726938667010947e-02; 1.6916268543105009e-01; -5.2406984008583402e-02; 2.7956202435848065e-01; 6.1528545900926446e-01; 2.2650869811942528e-01
13; 0; 46; 5.8097406912039551e-01; 3.2767666925592820e-01; 8.2909323135316348e-02; 7.1416553051267173e-01; 1.1002178991461875e+00; 6.9389889643447777e-02
14; 1; 3; -4.0283557269187656e-03; 8.2833066715257864e-01; 8.3236672964300251e-01; 5.3572611626974721e-03; 8.3816914741815696e-01; 8.8397221903367995e-01
14; 1; 3; 3.2396308740128732e-01; 3.4864149723504512e-01; 6.7759570734018326e-01; 5.8232762208112498e-01; 3.2363927086228239e-01; 6.7759570734018326e-01
15; 1; 4; 3.3961058817041206e-01; 5.6630846508646737e-01; 7.3184013262771364e-01; 3.6557867001626410e-01; 4.7033353679099299e-01; 6.9501869969472851e-01
15; 1; 4; 4.1257279842999223e-01; 6.4049802919802512e-01; 8.0813435229495600e-01; 4.9234689440598889e-01; 3.4566250046776115e-01; 6.9501869969472840e-01
15; 1; 4; 8.8378391571145642e-01; 9.1773430589268623e-01; 9.1449793234864740e-01; 1.2942821130969387e-231; -4.5116616693907907e-01; 5.6042435984513539e-01
16; 1; 5; 2.1037117440495556e-01; 1.1695072626564962e+00; 9.8542638993839837e-01; 2.4385060445286955e-01; 1.1662674205863517e+00; 9.8542638993839837e-01
16; 1; 5; 6.2220286965511706e-01; 3.6971628352547498e-01; 6.7759570734018326e-01; 6.2308030858800634e-01; 3.7016706907682873e-01; 7.0442004383340451e-01
17; 1; 7; -3.8612359387701123e-01; 6.0682182390623707e-01; 7.9521424746537539e-01; -3.8151091194976583e-01; 6.5347165842676291e-01; 7.6528088361138324e-01
17; 1; 7; -2.7460075281908025e-01; 4.0656519272322339e-01; 6.7759570734018326e-01; 2.8908237347779098e-01; 3.5201694312060183e-01; 6.7759570734018326e-01
18; 1; 9; 2.3436256396980759e-01; 3.5731224058117783e-01; 6.7759570734018326e-01; 2.7553038735071844e-01; 3.5332838404793143e-01; 6.7759570734018326e-01
18; 1; 9; 3.8018021515800343e-01; 6.7009421264839630e-01; 7.7165823940958134e-01; 3.8272411001935952e-01; 6.6906592496647876e-01; 8.1909461948928153e-01
19; 1; 10; 4.6511776212023370e-01; 3.3498180073192363e-01; 6.7759570734018326e-01; 5.0393922916906320e-01; 7.0957559373352663e-01; 8.3463642898197621e-01
19; 1; 10; 5.2477048466884890e-01; 7.1016594700861835e-01; 7.8703203239341923e-01; 7.9592952430335806e-01; 3.0296877473698830e-01; 6.7759570734018326e-01
20; 1; 11; -7.8375236814834479e-02; 4.3506205983498136e-01; 6.8148655805889713e-01; -7.2052472759120467e-02; 3.8696436803670708e-01; 6.7759570734018326e-01
20; 1; 11; -6.1986393238739439e-02; 3.1039102351174980e-01; 6.8148655805889713e-01; 1.4315805500468559e-01; 3.6613820340997083e-01; 6.7759570734018326e-01
21; 1; 13; 7.6298835565866929e-01; 3.0615652864624082e-01; 6.7759570734018326e-01; 8.3083027391930564e-01; 3.7052931633478897e-01; 7.0455902245366531e-01
22; 1; 14; 3.7594763134766063e-02; 3.7635368179695750e-01; 6.7759570734018326e-01; 8.6613149545647250e-01; 7.3532017696053931e-01; 8.4451351314881895e-01
23; 1; 16; 7.9027520525645556e-01; 3.0351594954551869e-01; 6.7759570734018326e-01; 8.3030943052288331e-01; 3.6514709717752447e-01; 7.0249409752744185e-01
24; 1; 17; 3.8289744508470058e-01; 9.1588499053932482e-01; 9.1378842995604237e-01; 3.9649012959320273e-01; 9.4844541248862413e-01; 8.7844956729866086e-01
24; 1; 17; 4.7796442240945824e-01; 1.1436119633240158e+00; 9.8542638993839837e-01; 5.6175749371257722e-01; 1.1355032136467982e+00; 9.8542638993839837e-01
24; 1; 17; 8.5098215992479076e-01; 5.7877207732347558e-01; 7.8445277172449601e-01; 8.9153526068013300e-01; 9.9783407805364543e-01; 9.4522875383456695e-01
25; 1; 18; 3.7345794843317726e-01; 4.4164913803383243e-01; 7.3184462496888680e-01; 3.8416610972351256e-01; 4.7897788866448765e-01; 6.9833516398818518e-01
25; 1; 18; 8.2505260111536616e-01; 3.1082480349394920e-01; 6.8165298069453650e-01; -3.8033299895353415e-270; -6.3121240032050691e-02; 9.6618724314622062e-01
26; 1; 19; 6.2994918852050752e-01; 1.1289042267059513e+00; 9.8542638993839837e-01; 8.1177071892375074e-01; 1.1113091528765755e+00; 9.8542638993839837e-01
26; 1; 19; 8.7216865354945505e-01; 7.9770612284499365e-01; 8.6844830490269409e-01; 8.9191208744638006e-01; 1.0017280781584681e+00; 9.4672271341596248e-01
27; 1; 21; 1.7223794687810567e-01; 3.6332410959320266e-01; 6.7759570734018326e-01; 6.2965723843546550e-01; 5.2695002891538756e-01; 7.1674000133760329e-01
27; 1; 21; 7.6650237952144895e-01; 4.0227899259215588e-01; 7.1674000133760329e-01; 8.2844199832569798e-01; 3.4584968567990182e-01; 6.9509051457239790e-01
28; 1; 23; -1.6169563990083924e-01; 3.9563923806260298e-01; 6.7759570734018326e-01; 8.3247282008458034e-01; 3.8750283178714284e-01; 7.1107102691113888e-01
29; 1; 25; -2.9764190124570833e-01; 8.3132616641181412e-01; 8.8134686290513953e-01; -2.7459365468528429e-01; 7.7628601311311440e-01; 8.1239944472527148e-01
29; 1; 25; -2.4831402269276309e-01; 8.6360027923619009e-01; 8.9372904543905862e-01; 4.9405499404027553e-02; 9.8827131555942194e-01; 8.9372904543905873e-01
30; 1; 26; -3.3935594149729847e-01; 6.7563274234524318e-01; 8.2161402356688518e-01; 5.5928315919377447e-01; 6.5989626767689180e-01; 8.1557661820599314e-01
31; 1; 27; 9.5319471042158765e-02; 3.7076759694134565e-01; 6.7759570734018326e-01; 5.7503765359670644e-01; 4.5325210212107614e-01; 6.8846529129663980e-01
31; 1; 27; 8.0601349367437303e-01; 3.2858106579784441e-01; 6.8846529129663991e-01; 8.2574049454356835e-01; 3.1793326107036773e-01; 6.8438018871183504e-01
32; 1; 28; 5.1122820175261585e-01; 3.3051964166947712e-01; 6.7759570734018326e-01; 5.2350945994287335e-01; 3.0374313347772081e-01; 6.7759570734018326e-01
32; 1; 28; 5.2358096733345860e-01; 3.0358722777163472e-01; 6.7887623562382227e-01; 5.8297714628625907e-01; 3.2357641567501194e-01; 6.7759570734018326e-01
32; 1; 28; 8.1911062924873979e-01; 4.3188091344069945e-01; 7.2809697927517969e-01; 3.8035533230987069e-270; 3.3961058817041206e-01; 5.6630846508646737e-01
33; 1; 29; 4.1614953114589504e-01; 3.3972051147413640e-01; 6.7759570734018326e-01; 8.3846450605019707e-01; 4.4941888411681485e-01; 7.3482554081203366e-01
34; 1; 30; -2.1530620661391320e-01; 1.2107005411967844e+00; 9.8542638993839837e-01; 6.9147404086522068e-01; 7.4681878712039618e-01; 8.4892503301492628e-01
34; 1; 30; 8.7128461016089831e-01; 7.8857071804880086e-01; 8.6494344482107899e-01; -3.8005572133429396e-270; 3.8992755357852710e-01; 2.8571336289363547e-01
35; 1; 32; 7.4367745923628659e-01; 3.0802526579474959e-01; 6.7759570734018326e-01; 8.2923784960885949e-01; 3.5407374314513551e-01; 6.9824573006222712e-01
36; 1; 34; -4.5116616693907907e-01; 5.6042435984513539e-01; 7.2958265569741254e-01; -4.4577186615584913e-01; 6.1616723613956670e-01; 7.5096878869506423e-01
36; 1; 34; -2.3438173078736563e-01; 4.0267315276280796e-01; 6.7759570734018326e-01; -1.8590727916912081e-01; 3.6739892647988232e-01; 7.0335802712974405e-01
36; 1; 34; -1.7390831567597476e-01; 3.5866743722547889e-01; 6.7759570734018326e-01; -1.3354190629041462e-01; 3.9291476962176775e-01; 6.7759570734018326e-01
36; 1; 34; -2.6437682072330881e-02; 1.1924235218251824e+00; 9.8542638993839837e-01; 4.1702215065915721e-01; 1.1495094154486256e+00; 9.8542638993839837e-01
37; 1; 35; -7.5510647578746759e-02; 3.8729901950032236e-01; 6.7759570734018326e-01; -6.4831592090346502e-02; 3.6745555773132660e-01; 6.7759570734018326e-01
37; 1; 35; -5.5084246070305529e-02; 3.4934336716279246e-01; 6.9643088919623120e-01; 3.7232335771962977e-01; 3.4396161952874338e-01; 6.7759570734018326e-01
37; 1; 35; 7.7565580573646253e-01; 6.9247793095365529e-01; 7.8024590492812684e-01; 7.9373769319713938e-01; 6.5887877577303422e-01; 8.1518625052806792e-01
38; 1; 36; 5.9892776360351008e-01; 3.2203285651181096e-01; 6.7759570734018326e-01; 7.5542852858748633e-01; 3.0688810160770352e-01; 6.7759570734018326e-01
38; 1; 36; 7.6720105925736948e-01; 4.0622463213518056e-01; 6.7759570734018326e-01; 7.7131794750614102e-01; 4.0131693689432274e-01; 7.1637090213654420e-01
