# Number of Traces
506
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 1; 1.2078429086422979e+01; 1.0000000000000000e+01; -4.2889704469467835e+00; 1.3191061041242385e+01; 1.0000000000000000e+01; -3.1763384921273778e+00
1; 0; 10; 1.4353392336814890e+01; 0.0000000000000000e+00; -6.5639336973386957e+00; 1.4353392336814890e+01; 1.0000000000000000e+01; -6.5639336973386948e+00
1; 0; 10; 1.8036864943469048e+01; 0.0000000000000000e+00; -1.0247406303992852e+01; 1.8036864943469048e+01; 1.0000000000000000e+01; -1.0247406303992852e+01
2; 0; 11; 1.7372434332139111e+01; 1.0000000000000000e+01; -9.5829756926629148e+00; 1.8036864943469048e+01; 1.0000000000000000e+01; -1.0247406303992852e+01
3; 1; 2; 1.2078429086422979e+01; 2.0000000000000000e+01; -2.0637065373079713e+00; 1.3248788620466350e+01; 2.0000000000000000e+01; -9.1347743491734459e+00
3; 1; 2; 1.6199142759377402e+01; 2.0000000000000000e+01; -6.1844202102623935e+00; -3.8042548679767619e-270; 3.4264633010320281e+01; 4.0000000000000000e+01
4; 1; 10; 1.4353392336814890e+01; 1.0000000000000000e+01; -4.3386697876998825e+00; 1.9149496898288454e+01; 1.0000000000000000e+01; -9.1347743491734459e+00
5; 1; 11; 1.7372434332139111e+01; 1.0000000000000000e+01; -7.3577117830241026e+00; 1.7372434332139111e+01; 2.0000000000000000e+01; -7.3577117830241026e+00
5; 1; 11; 1.9149496898288454e+01; 1.0000000000000000e+01; -9.1347743491734459e+00; 1.9149496898288454e+01; 2.0000000000000000e+01; -9.1347743491734459e+00
6; 1; 12; 1.8732277204083754e+01; 2.0000000000000000e+01; -8.7175546549687457e+00; 1.9149496898288454e+01; 2.0000000000000000e+01; -9.1347743491734459e+00
7; 2; 3; 1.0683164448390995e+01; 3.0000000000000000e+01; -6.5691501770980922e+00; 1.2238253949270064e+01; 3.0000000000000000e+01; -5.0140606762190236e+00
8; 2; 13; 1.6111338084076930e+01; 3.0000000000000000e+01; -1.1997323812784025e+01; 1.6199142759377402e+01; 3.0000000000000000e+01; -1.2085128488084498e+01
9; 3; 4; 1.3385156278456485e+01; 4.0000000000000000e+01; -6.1609630054054438e+00; 1.6087148108521976e+01; 4.0000000000000000e+01; -3.4589711753399546e+00
10; 3; 13; 1.6111338084076930e+01; 3.0000000000000000e+01; -8.8871448110258875e+00; 1.6111338084076930e+01; 4.0000000000000000e+01; -8.8871448110258893e+00
10; 3; 13; 1.7754232260256472e+01; 3.0000000000000000e+01; -1.0530038987205430e+01; 1.7754232260256472e+01; 4.0000000000000000e+01; -1.0530038987205430e+01
11; 4; 5; 1.3408817023020188e+01; 5.0000000000000000e+01; -7.8064008983816624e-01; 1.3432477767583890e+01; 5.0000000000000000e+01; -7.5697934527446353e-01
12; 4; 13; 1.6111338084076930e+01; 4.0000000000000000e+01; -3.4831611508949090e+00; 2.0456224090321960e+01; 4.0000000000000000e+01; -7.8280471571399382e+00
13; 4; 14; 1.8923979893738899e+01; 4.0000000000000000e+01; -6.2958029605568768e+00; 1.8923979893738899e+01; 5.0000000000000000e+01; -6.2958029605568768e+00
13; 4; 14; 2.0456224090321960e+01; 4.0000000000000000e+01; -7.8280471571399382e+00; 2.0456224090321960e+01; 5.0000000000000000e+01; -7.8280471571399382e+00
14; 4; 15; 1.8320166673191856e+01; 5.0000000000000000e+01; -5.6919897400098343e+00; 2.0456224090321960e+01; 5.0000000000000000e+01; -7.8280471571399382e+00
15; 5; 6; 1.3408817023020188e+01; 6.0000000000000000e+01; -7.3331860071076083e-01; 1.5030157870194916e+01; 6.0000000000000000e+01; -2.3546594478854894e+00
16; 5; 14; 1.8923979893738899e+01; 5.0000000000000000e+01; -6.2484814714294714e+00; 2.0479884834885663e+01; 5.0000000000000000e+01; -7.8043864125762354e+00
17; 5; 15; 1.8320166673191856e+01; 5.0000000000000000e+01; -5.6446682508824289e+00; 1.8320166673191856e+01; 6.0000000000000000e+01; -5.6446682508824289e+00
17; 5; 15; 2.0479884834885663e+01; 5.0000000000000000e+01; -7.8043864125762354e+00; 2.0479884834885663e+01; 6.0000000000000000e+01; -7.8043864125762354e+00
18; 5; 16; 1.4311713140276069e+01; 6.0000000000000000e+01; -1.6362147179666424e+00; 2.0479884834885663e+01; 6.0000000000000000e+01; -7.8043864125762354e+00
19; 6; 7; 8.5364962567067675e+00; 7.0000000000000000e+01; -6.7604517637788364e+00; 9.1139024550840944e+00; 7.0000000000000000e+01; -6.1830455654015095e+00
20; 6; 16; 1.4311713140276069e+01; 6.0000000000000000e+01; -1.2535668647348137e+01; 1.4311713140276069e+01; 7.0000000000000000e+01; -1.2535668647348137e+01
20; 6; 16; 1.5030157870194916e+01; 6.0000000000000000e+01; -1.3254113377266984e+01; 1.5030157870194916e+01; 7.0000000000000000e+01; -1.3254113377266984e+01
21; 7; 8; 8.5364962567067675e+00; 8.0000000000000000e+01; -5.6056393670241826e+00; 1.3404563348144128e+01; 8.0000000000000000e+01; -1.2676707178889657e+01
21; 7; 8; 1.4506063708358186e+01; 8.0000000000000000e+01; -1.1575206818675600e+01; -3.7987093092013785e-270; 1.8093830776852712e+01; 8.0000000000000000e+01
22; 7; 16; 1.4311713140276069e+01; 7.0000000000000000e+01; -1.1380856250593483e+01; 1.5607564068572243e+01; 7.0000000000000000e+01; -1.2676707178889657e+01
23; 8; 9; 1.0188064108456944e+01; 9.0000000000000000e+01; -9.4602079392024727e+00; 1.2941132320421175e+01; 9.0000000000000000e+01; -6.7071397272382400e+00
24; 9; 18; 1.5975327256205693e+01; 9.0000000000000000e+01; -9.7413346630227569e+00; 1.7259131920322417e+01; 9.0000000000000000e+01; -1.1025139327139481e+01
25; 9; 19; 1.7077344336575685e+01; 9.0000000000000000e+01; -1.0843351743392748e+01; 1.7077344336575685e+01; 1.0000000000000000e+02; -1.0843351743392748e+01
25; 9; 19; 1.7259131920322417e+01; 9.0000000000000000e+01; -1.1025139327139481e+01; 1.7259131920322417e+01; 1.0000000000000000e+02; -1.1025139327139481e+01
26; 10; 11; 1.7372434332139111e+01; 1.0000000000000000e+01; -1.6949920905971229e+01; 2.0391476327463334e+01; 1.0000000000000000e+01; -1.3930878910647010e+01
27; 11; 12; 1.8732277204083754e+01; 2.0000000000000000e+01; -1.2271679787267432e+01; 2.0092120076028401e+01; 2.0000000000000000e+01; -1.0911836915322789e+01
28; 11; 20; 2.3218028515166125e+01; 1.0000000000000000e+01; -1.6757431098349802e+01; 2.4443502144004587e+01; 1.0000000000000000e+01; -1.7982904727188263e+01
29; 11; 22; 2.4327681541234476e+01; 2.0000000000000000e+01; -1.7867084124418152e+01; 2.4443502144004587e+01; 2.0000000000000000e+01; -1.7982904727188263e+01
30; 12; 13; 1.8732277204083754e+01; 3.0000000000000000e+01; -9.5519940433781443e+00; 2.0561466775935582e+01; 3.0000000000000000e+01; -1.6623061855243620e+01
30; 12; 13; 2.3182405895942406e+01; 3.0000000000000000e+01; -1.4002122735236796e+01; -3.7950122770697582e-270; 1.8923979893738899e+01; 5.0000000000000000e+01
31; 12; 22; 2.4327681541234476e+01; 2.0000000000000000e+01; -1.5147398380528866e+01; 2.4327681541234476e+01; 3.0000000000000000e+01; -1.5147398380528866e+01
31; 12; 22; 2.5803345015949230e+01; 2.0000000000000000e+01; -1.6623061855243620e+01; 2.5803345015949230e+01; 3.0000000000000000e+01; -1.6623061855243620e+01
32; 12; 23; 2.2322425851846869e+01; 3.0000000000000000e+01; -1.3142142691141260e+01; 2.5803345015949230e+01; 3.0000000000000000e+01; -1.6623061855243620e+01
33; 13; 14; 1.8923979893738899e+01; 4.0000000000000000e+01; -1.4985574973046937e+01; 2.1736621703400868e+01; 4.0000000000000000e+01; -1.2172933163384968e+01
34; 13; 23; 2.2322425851846869e+01; 3.0000000000000000e+01; -1.8384020931154907e+01; 2.2322425851846869e+01; 4.0000000000000000e+01; -1.8384020931154907e+01
34; 13; 23; 2.3182405895942406e+01; 3.0000000000000000e+01; -1.9244000975250444e+01; 2.3182405895942406e+01; 4.0000000000000000e+01; -1.9244000975250444e+01
35; 14; 15; 1.8923979893738899e+01; 5.0000000000000000e+01; -9.3602913537229995e+00; 2.4787421264510289e+01; 5.0000000000000000e+01; -1.6431359165588475e+01
35; 14; 15; 2.5391234485057332e+01; 5.0000000000000000e+01; -1.5827545945041432e+01; -3.7959365368656543e-270; 4.5845872963287988e+01; 5.0000000000000000e+01
36; 14; 23; 2.2322425851846869e+01; 4.0000000000000000e+01; -1.2758737311830970e+01; 2.5995047705604374e+01; 4.0000000000000000e+01; -1.6431359165588475e+01
37; 14; 24; 2.5064453575765540e+01; 4.0000000000000000e+01; -1.5500765035749641e+01; 2.5064453575765540e+01; 5.0000000000000000e+01; -1.5500765035749641e+01
37; 14; 24; 2.5995047705604374e+01; 4.0000000000000000e+01; -1.6431359165588475e+01; 2.5995047705604374e+01; 5.0000000000000000e+01; -1.6431359165588475e+01
38; 15; 16; 1.8320166673191856e+01; 6.0000000000000000e+01; -9.9641045742700420e+00; 2.1382780952141545e+01; 6.0000000000000000e+01; -1.3026718853219730e+01
39; 15; 24; 2.5064453575765540e+01; 5.0000000000000000e+01; -1.6708391476843726e+01; 2.5391234485057332e+01; 5.0000000000000000e+01; -1.7035172386135518e+01
40; 15; 26; 2.3379520748111037e+01; 6.0000000000000000e+01; -1.5023458649189223e+01; 2.5391234485057332e+01; 6.0000000000000000e+01; -1.7035172386135518e+01
41; 17; 18; 1.8093830776852712e+01; 8.0000000000000000e+01; -1.0190440470609188e+01; 2.0927891547424146e+01; 8.0000000000000000e+01; -1.7261508282474662e+01
41; 17; 18; 2.3046395068071167e+01; 8.0000000000000000e+01; -1.5143004761827640e+01; -3.7996335689972880e-270; 3.2904584048218048e+01; 7.0000000000000000e+01
42; 17; 26; 2.3379520748111037e+01; 7.0000000000000000e+01; -1.5476130441867511e+01; 2.5164898588718188e+01; 7.0000000000000000e+01; -1.7261508282474662e+01
43; 17; 27; 2.2782682684259047e+01; 7.0000000000000000e+01; -1.4879292378015521e+01; 2.2782682684259047e+01; 8.0000000000000000e+01; -1.4879292378015521e+01
43; 17; 27; 2.5164898588718188e+01; 7.0000000000000000e+01; -1.7261508282474662e+01; 2.5164898588718188e+01; 8.0000000000000000e+01; -1.7261508282474662e+01
44; 17; 28; 2.3956574506827145e+01; 8.0000000000000000e+01; -1.6053184200583619e+01; 2.5164898588718188e+01; 8.0000000000000000e+01; -1.7261508282474662e+01
45; 18; 19; 1.7077344336575685e+01; 9.0000000000000000e+01; -1.3410961071626199e+01; 1.8179361416945675e+01; 9.0000000000000000e+01; -1.2308943991256207e+01
46; 18; 27; 2.2782682684259047e+01; 8.0000000000000000e+01; -1.9116299419309563e+01; 2.3046395068071167e+01; 8.0000000000000000e+01; -1.9380011803121683e+01
47; 19; 28; 2.3956574506827145e+01; 9.0000000000000000e+01; -1.8086157081137674e+01; 2.4148412148441160e+01; 9.0000000000000000e+01; -1.8277994722751689e+01
48; 20; 21; 2.6114428658962897e+01; 1.0000000000000000e+01; -2.2104778499823496e+01; 2.9010828802759669e+01; 1.0000000000000000e+01; -1.9208378356026724e+01
49; 21; 22; 2.6114428658962897e+01; 2.0000000000000000e+01; -1.6311978212229953e+01; 2.9612002235371531e+01; 2.0000000000000000e+01; -2.3383046024095428e+01
